iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(34, 16)",START,START,"['(34, 15)', '(33, 16)']","['(34, 16)']","['(34, 15)', '(33, 16)']","['(34, 16)']",0,0,0
2,"(33, 16)","(34, 16)",West,"['(34, 16)', '(32, 16)']","['(34, 15)', '(33, 16)']","['(34, 15)', '(34, 16)', '(32, 16)']","['(34, 16)', '(33, 16)']",1,0,1
3,"(32, 16)","(33, 16)",West,"['(33, 16)', '(31, 16)']","['(34, 15)', '(34, 16)', '(32, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(31, 16)']","['(34, 16)', '(32, 16)', '(33, 16)']",2,0,2
4,"(31, 16)","(32, 16)",West,"['(32, 16)', '(30, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(31, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(30, 16)']","['(31, 16)', '(34, 16)', '(32, 16)', '(33, 16)']",3,0,3
5,"(30, 16)","(31, 16)",West,"['(31, 16)', '(29, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(30, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(29, 16)']","['(33, 16)', '(34, 16)', '(30, 16)', '(31, 16)', '(32, 16)']",4,0,4
6,"(29, 16)","(30, 16)",West,"['(30, 16)', '(28, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(29, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(28, 16)']","['(33, 16)', '(34, 16)', '(29, 16)', '(30, 16)', '(31, 16)', '(32, 16)']",5,0,5
7,"(28, 16)","(29, 16)",West,"['(29, 16)', '(27, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(28, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(27, 16)']","['(33, 16)', '(28, 16)', '(34, 16)', '(29, 16)', '(30, 16)', '(31, 16)', '(32, 16)']",6,0,6
8,"(27, 16)","(28, 16)",West,"['(28, 16)', '(26, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(27, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(26, 16)']","['(33, 16)', '(28, 16)', '(34, 16)', '(29, 16)', '(30, 16)', '(31, 16)', '(32, 16)', '(27, 16)']",7,0,7
9,"(26, 16)","(27, 16)",West,"['(27, 16)', '(25, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(26, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 16)']","['(33, 16)', '(28, 16)', '(34, 16)', '(29, 16)', '(30, 16)', '(31, 16)', '(26, 16)', '(32, 16)', '(27, 16)']",8,0,8
10,"(25, 16)","(26, 16)",West,"['(25, 15)', '(26, 16)', '(24, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(24, 16)']","['(25, 16)', '(33, 16)', '(28, 16)', '(34, 16)', '(29, 16)', '(30, 16)', '(31, 16)', '(26, 16)', '(32, 16)', '(27, 16)']",9,0,9
11,"(24, 16)","(25, 16)",West,"['(25, 16)', '(23, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(24, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(23, 16)']","['(25, 16)', '(33, 16)', '(28, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(31, 16)', '(26, 16)', '(32, 16)', '(27, 16)']",10,0,10
12,"(23, 16)","(24, 16)",West,"['(24, 16)', '(22, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(23, 16)']","['(34, 15)', '(34, 16)', '(33, 16)', '(32, 16)', '(31, 16)', '(30, 16)', '(29, 16)', '(28, 16)', '(27, 16)', '(25, 15)', '(26, 16)', '(25, 16)', '(24, 16)', '(22, 16)']","['(25, 16)', '(33, 16)', '(28, 16)', '(23, 16)', '(34, 16)', '(29, 16)', '(24, 16)', '(30, 16)', '(31, 16)', '(26, 16)', '(32, 16)', '(27, 16)']",11,0,11
