iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(5, 5)",START,START,"['(5, 4)', '(4, 5)']","['(5, 5)']","['(5, 4)', '(4, 5)']","['(5, 5)']",0,0,0
2,"(4, 5)","(5, 5)",West,"['(5, 5)', '(3, 5)']","['(5, 4)', '(4, 5)']","['(5, 4)', '(5, 5)', '(3, 5)']","['(4, 5)', '(5, 5)']",1,0,1
3,"(3, 5)","(4, 5)",West,"['(4, 5)', '(2, 5)']","['(5, 4)', '(5, 5)', '(3, 5)']","['(5, 4)', '(5, 5)', '(4, 5)', '(2, 5)']","['(4, 5)', '(5, 5)', '(3, 5)']",2,0,2
4,"(2, 5)","(3, 5)",West,"['(3, 5)', '(1, 5)']","['(5, 4)', '(5, 5)', '(4, 5)', '(2, 5)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)']","['(4, 5)', '(5, 5)', '(2, 5)', '(3, 5)']",3,0,3
5,"(1, 5)","(2, 5)",West,"['(1, 4)', '(2, 5)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 4)', '(2, 5)']","['(5, 5)', '(1, 5)', '(4, 5)', '(2, 5)', '(3, 5)']",4,0,4
6,"(1, 4)","(1, 5)",South,"['(1, 5)', '(1, 3)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 4)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 3)']","['(5, 5)', '(1, 5)', '(1, 4)', '(4, 5)', '(2, 5)', '(3, 5)']",5,0,5
7,"(1, 3)","(1, 4)",South,"['(1, 4)', '(2, 3)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 3)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)']","['(5, 5)', '(1, 5)', '(1, 4)', '(4, 5)', '(2, 5)', '(1, 3)', '(3, 5)']",6,0,6
8,"(2, 3)","(1, 3)",East,"['(2, 2)', '(1, 3)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 2)', '(1, 3)']","['(5, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(4, 5)', '(2, 5)', '(1, 3)', '(3, 5)']",7,0,7
9,"(2, 2)","(2, 3)",South,"['(2, 3)', '(2, 1)', '(3, 2)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 2)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 1)', '(3, 2)']","['(5, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(4, 5)', '(2, 2)', '(2, 5)', '(1, 3)', '(3, 5)']",8,0,8
10,"(3, 2)","(2, 2)",East,"['(4, 2)', '(2, 2)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 1)', '(3, 2)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 1)', '(4, 2)', '(2, 2)']","['(5, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(4, 5)', '(2, 2)', '(3, 2)', '(2, 5)', '(1, 3)', '(3, 5)']",9,0,9
11,"(4, 2)","(3, 2)",East,"['(4, 3)', '(3, 2)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 1)', '(4, 2)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 1)', '(4, 3)', '(3, 2)']","['(5, 5)', '(1, 5)', '(1, 4)', '(4, 2)', '(2, 3)', '(4, 5)', '(2, 2)', '(3, 2)', '(2, 5)', '(1, 3)', '(3, 5)']",10,0,10
12,"(4, 3)","(4, 2)",North,"['(4, 2)', '(5, 3)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 1)', '(4, 3)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 1)', '(4, 2)', '(5, 3)']","['(5, 5)', '(1, 5)', '(4, 3)', '(1, 4)', '(4, 2)', '(2, 3)', '(4, 5)', '(2, 2)', '(3, 2)', '(2, 5)', '(1, 3)', '(3, 5)']",11,0,11
13,"(5, 3)","(4, 3)",East,"['(5, 4)', '(4, 3)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 1)', '(4, 2)', '(5, 3)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 1)', '(4, 2)', '(5, 4)', '(4, 3)']","['(5, 5)', '(1, 5)', '(4, 3)', '(1, 4)', '(4, 2)', '(2, 3)', '(4, 5)', '(2, 2)', '(5, 3)', '(3, 2)', '(2, 5)', '(1, 3)', '(3, 5)']",12,0,12
14,"(5, 4)","(5, 3)",North,"['(5, 5)', '(5, 3)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 1)', '(4, 2)', '(5, 4)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 1)', '(4, 2)', '(5, 5)', '(5, 3)']","['(5, 5)', '(1, 5)', '(4, 3)', '(5, 4)', '(1, 4)', '(4, 2)', '(2, 3)', '(4, 5)', '(2, 2)', '(5, 3)', '(3, 2)', '(2, 5)', '(1, 3)', '(3, 5)']",13,0,13
15,"(2, 1)","(2, 2)",South,"['(2, 2)', '(1, 1)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 1)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 2)', '(1, 1)']","['(5, 5)', '(2, 1)', '(1, 5)', '(4, 3)', '(5, 4)', '(1, 4)', '(4, 2)', '(2, 3)', '(4, 5)', '(2, 2)', '(5, 3)', '(3, 2)', '(2, 5)', '(1, 3)', '(3, 5)']",9,0,9
16,"(1, 1)","(2, 1)",West,[],"['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 2)', '(1, 1)']","['(5, 4)', '(5, 5)', '(4, 5)', '(3, 5)', '(1, 5)', '(1, 4)', '(2, 3)', '(2, 2)']","['(5, 5)', '(2, 1)', '(1, 5)', '(4, 3)', '(5, 4)', '(1, 1)', '(1, 4)', '(4, 2)', '(2, 3)', '(4, 5)', '(2, 2)', '(5, 3)', '(3, 2)', '(2, 5)', '(1, 3)', '(3, 5)']",10,0,10
