iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(5, 5)",START,START,"['(5, 4)', '(4, 5)']","['(5, 5)']","['(5, 4)', '(4, 5)']","['(5, 5)']",0,0,0
2,"(5, 4)","(5, 5)",South,"['(5, 5)', '(5, 3)']","['(5, 4)', '(4, 5)']","['(4, 5)', '(5, 3)']","['(5, 4)', '(5, 5)']",1,0,1
3,"(4, 5)","(5, 5)",West,"['(5, 5)', '(3, 5)']","['(4, 5)', '(5, 3)']","['(5, 3)', '(3, 5)']","['(4, 5)', '(5, 4)', '(5, 5)']",1,0,1
4,"(5, 3)","(5, 4)",South,"['(5, 4)', '(4, 3)']","['(5, 3)', '(3, 5)']","['(3, 5)', '(4, 3)']","['(4, 5)', '(5, 3)', '(5, 4)', '(5, 5)']",2,0,2
5,"(3, 5)","(4, 5)",West,"['(4, 5)', '(2, 5)']","['(3, 5)', '(4, 3)']","['(4, 3)', '(2, 5)']","['(5, 5)', '(5, 4)', '(4, 5)', '(5, 3)', '(3, 5)']",2,0,2
6,"(4, 3)","(5, 3)",West,"['(4, 2)', '(5, 3)']","['(4, 3)', '(2, 5)']","['(2, 5)', '(4, 2)']","['(5, 5)', '(4, 3)', '(5, 4)', '(4, 5)', '(5, 3)', '(3, 5)']",3,0,3
7,"(2, 5)","(3, 5)",West,"['(3, 5)', '(1, 5)']","['(2, 5)', '(4, 2)']","['(4, 2)', '(1, 5)']","['(5, 5)', '(4, 3)', '(5, 4)', '(4, 5)', '(5, 3)', '(2, 5)', '(3, 5)']",3,0,3
8,"(4, 2)","(4, 3)",South,"['(4, 3)', '(3, 2)']","['(4, 2)', '(1, 5)']","['(1, 5)', '(3, 2)']","['(5, 5)', '(4, 3)', '(5, 4)', '(4, 2)', '(4, 5)', '(5, 3)', '(2, 5)', '(3, 5)']",4,0,4
9,"(1, 5)","(2, 5)",West,"['(1, 4)', '(2, 5)']","['(1, 5)', '(3, 2)']","['(3, 2)', '(1, 4)']","['(5, 5)', '(4, 3)', '(1, 5)', '(5, 4)', '(4, 2)', '(4, 5)', '(5, 3)', '(2, 5)', '(3, 5)']",4,0,4
10,"(3, 2)","(4, 2)",West,"['(4, 2)', '(2, 2)']","['(3, 2)', '(1, 4)']","['(1, 4)', '(2, 2)']","['(5, 5)', '(4, 3)', '(1, 5)', '(5, 4)', '(4, 2)', '(4, 5)', '(5, 3)', '(3, 2)', '(2, 5)', '(3, 5)']",5,0,5
11,"(1, 4)","(1, 5)",South,"['(1, 5)', '(1, 3)']","['(1, 4)', '(2, 2)']","['(2, 2)', '(1, 3)']","['(5, 5)', '(4, 3)', '(1, 5)', '(5, 4)', '(4, 2)', '(1, 4)', '(4, 5)', '(5, 3)', '(3, 2)', '(2, 5)', '(3, 5)']",5,0,5
12,"(2, 2)","(3, 2)",West,"['(2, 3)', '(2, 1)', '(3, 2)']","['(2, 2)', '(1, 3)']","['(1, 3)', '(2, 3)', '(2, 1)']","['(5, 5)', '(4, 3)', '(1, 5)', '(5, 4)', '(4, 2)', '(1, 4)', '(4, 5)', '(2, 2)', '(5, 3)', '(3, 2)', '(2, 5)', '(3, 5)']",6,0,6
13,"(1, 3)","(1, 4)",South,"['(1, 4)', '(2, 3)']","['(1, 3)', '(2, 3)', '(2, 1)']","['(2, 3)', '(2, 1)']","['(5, 5)', '(4, 3)', '(1, 5)', '(5, 4)', '(4, 2)', '(1, 4)', '(4, 5)', '(2, 2)', '(5, 3)', '(3, 2)', '(2, 5)', '(1, 3)', '(3, 5)']",6,0,6
14,"(2, 3)","(2, 2)",North,"['(2, 2)', '(1, 3)']","['(2, 3)', '(2, 1)']","['(2, 1)']","['(5, 5)', '(4, 3)', '(1, 5)', '(5, 4)', '(4, 2)', '(1, 4)', '(2, 3)', '(4, 5)', '(2, 2)', '(5, 3)', '(3, 2)', '(2, 5)', '(1, 3)', '(3, 5)']",7,0,7
15,"(2, 1)","(2, 2)",South,"['(2, 2)', '(1, 1)']","['(2, 1)']","['(1, 1)']","['(5, 5)', '(2, 1)', '(4, 3)', '(1, 5)', '(5, 4)', '(4, 2)', '(1, 4)', '(2, 3)', '(4, 5)', '(2, 2)', '(5, 3)', '(3, 2)', '(2, 5)', '(1, 3)', '(3, 5)']",7,0,7
16,"(1, 1)","(2, 1)",West,[],"['(1, 1)']",[],"['(5, 5)', '(2, 1)', '(4, 3)', '(1, 5)', '(5, 4)', '(1, 1)', '(4, 2)', '(1, 4)', '(2, 3)', '(4, 5)', '(2, 2)', '(5, 3)', '(3, 2)', '(2, 5)', '(1, 3)', '(3, 5)']",8,0,8
